ResponseId,Dur,Age,Country,Gender,Socialmedia,Selfietaking,StimGender,Tilt,Distance,Eyes,Boring,Funny,Ironic,Serious,Ugly
R_00OlMTXsIar3zHj,1732,34,usa,Male,NA,Less than once a week,Female,Tilted,Near,Direct,4,2,4,4,3
R_00OlMTXsIar3zHj,1732,34,usa,Male,NA,Less than once a week,Female,Tilted,Near,Side,3,4,4,3,2
R_00OlMTXsIar3zHj,1732,34,usa,Male,NA,Less than once a week,Female,Level,Near,Side,4,3,5,2,2
R_00OlMTXsIar3zHj,1732,34,usa,Male,NA,Less than once a week,Female,Level,Near,Direct,4,1,4,4,2
R_00OlMTXsIar3zHj,1732,34,usa,Male,NA,Less than once a week,Female,Tilted,Far,Direct,4,2,2,3,1
R_00OlMTXsIar3zHj,1732,34,usa,Male,NA,Less than once a week,Female,Tilted,Far,Side,3,2,3,3,2
R_00OlMTXsIar3zHj,1732,34,usa,Male,NA,Less than once a week,Female,Level,Far,Direct,1,4,2,2,1
R_00OlMTXsIar3zHj,1732,34,usa,Male,NA,Less than once a week,Female,Level,Far,Side,4,1,2,3,1
R_00OlMTXsIar3zHj,1732,34,usa,Male,NA,Less than once a week,Male,Tilted,Near,Direct,1,5,2,1,1
R_00OlMTXsIar3zHj,1732,34,usa,Male,NA,Less than once a week,Male,Tilted,Near,Side,2,4,4,1,1
R_00OlMTXsIar3zHj,1732,34,usa,Male,NA,Less than once a week,Male,Level,Near,Direct,3,2,4,3,3
R_00OlMTXsIar3zHj,1732,34,usa,Male,NA,Less than once a week,Male,Level,Far,Side,1,2,5,4,2
R_00OlMTXsIar3zHj,1732,34,usa,Male,NA,Less than once a week,Male,Level,Near,Side,4,1,3,3,1
R_00OlMTXsIar3zHj,1732,34,usa,Male,NA,Less than once a week,Male,Level,Far,Direct,2,4,3,1,2
R_00OlMTXsIar3zHj,1732,34,usa,Male,NA,Less than once a week,Male,Tilted,Far,Side,4,3,4,2,2
R_00OlMTXsIar3zHj,1732,34,usa,Male,NA,Less than once a week,Male,Tilted,Far,Direct,2,4,3,2,1
R_0IJR3pgtfcdxe2B,410,19,England,Female,"Facebook,Twitter,Instagram,Snapchat,Whatsapp",Less than once a week,Female,Tilted,Near,Direct,4,3,4,4,5
R_0IJR3pgtfcdxe2B,410,19,England,Female,"Facebook,Twitter,Instagram,Snapchat,Whatsapp",Less than once a week,Female,Tilted,Near,Side,5,5,4,4,4
R_0IJR3pgtfcdxe2B,410,19,England,Female,"Facebook,Twitter,Instagram,Snapchat,Whatsapp",Less than once a week,Female,Level,Near,Side,5,4,4,5,2
R_0IJR3pgtfcdxe2B,410,19,England,Female,"Facebook,Twitter,Instagram,Snapchat,Whatsapp",Less than once a week,Female,Level,Near,Direct,4,2,1,4,3
R_0IJR3pgtfcdxe2B,410,19,England,Female,"Facebook,Twitter,Instagram,Snapchat,Whatsapp",Less than once a week,Female,Tilted,Far,Direct,5,4,4,4,4
R_0IJR3pgtfcdxe2B,410,19,England,Female,"Facebook,Twitter,Instagram,Snapchat,Whatsapp",Less than once a week,Female,Tilted,Far,Side,4,2,4,4,5
R_0IJR3pgtfcdxe2B,410,19,England,Female,"Facebook,Twitter,Instagram,Snapchat,Whatsapp",Less than once a week,Female,Level,Far,Direct,2,2,2,2,1
R_0IJR3pgtfcdxe2B,410,19,England,Female,"Facebook,Twitter,Instagram,Snapchat,Whatsapp",Less than once a week,Female,Level,Far,Side,4,3,4,5,2
R_0IJR3pgtfcdxe2B,410,19,England,Female,"Facebook,Twitter,Instagram,Snapchat,Whatsapp",Less than once a week,Male,Level,Near,Direct,4,2,1,1,2
R_0IJR3pgtfcdxe2B,410,19,England,Female,"Facebook,Twitter,Instagram,Snapchat,Whatsapp",Less than once a week,Male,Level,Far,Side,5,4,5,5,4
R_0IJR3pgtfcdxe2B,410,19,England,Female,"Facebook,Twitter,Instagram,Snapchat,Whatsapp",Less than once a week,Male,Level,Near,Side,5,5,5,4,4
R_0IJR3pgtfcdxe2B,410,19,England,Female,"Facebook,Twitter,Instagram,Snapchat,Whatsapp",Less than once a week,Male,Level,Far,Direct,3,2,1,3,1
R_0IJR3pgtfcdxe2B,410,19,England,Female,"Facebook,Twitter,Instagram,Snapchat,Whatsapp",Less than once a week,Male,Tilted,Far,Side,5,5,2,5,5
R_0IJR3pgtfcdxe2B,410,19,England,Female,"Facebook,Twitter,Instagram,Snapchat,Whatsapp",Less than once a week,Male,Tilted,Far,Direct,5,5,2,2,4
R_10BoO25kkjsfeLo,617,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram",Several times a week,Female,Tilted,Near,Direct,4,2,4,5,1
R_10BoO25kkjsfeLo,617,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram",Several times a week,Female,Tilted,Near,Side,4,2,3,4,2
R_10BoO25kkjsfeLo,617,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram",Several times a week,Female,Level,Near,Side,4,2,4,5,2
R_10BoO25kkjsfeLo,617,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram",Several times a week,Female,Level,Near,Direct,5,2,3,4,2
R_10BoO25kkjsfeLo,617,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram",Several times a week,Female,Tilted,Far,Direct,4,2,4,4,2
R_10BoO25kkjsfeLo,617,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram",Several times a week,Female,Tilted,Far,Side,5,1,3,4,2
R_10BoO25kkjsfeLo,617,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram",Several times a week,Female,Level,Far,Direct,4,1,3,4,2
R_10BoO25kkjsfeLo,617,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram",Several times a week,Female,Level,Far,Side,5,1,2,5,2
R_10BoO25kkjsfeLo,617,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram",Several times a week,Male,Tilted,Near,Direct,1,4,3,1,2
R_10BoO25kkjsfeLo,617,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram",Several times a week,Male,Tilted,Near,Side,2,3,2,1,2
R_10BoO25kkjsfeLo,617,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram",Several times a week,Male,Level,Near,Direct,2,4,3,1,2
R_10BoO25kkjsfeLo,617,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram",Several times a week,Male,Level,Far,Side,4,2,2,1,3
R_10BoO25kkjsfeLo,617,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram",Several times a week,Male,Level,Near,Side,2,3,3,1,3
R_10BoO25kkjsfeLo,617,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram",Several times a week,Male,Level,Far,Direct,4,2,2,1,2
R_10BoO25kkjsfeLo,617,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram",Several times a week,Male,Tilted,Far,Side,2,2,3,2,4
R_10BoO25kkjsfeLo,617,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram",Several times a week,Male,Tilted,Far,Direct,3,2,3,1,2
R_123YVnrORavW4At,176,39,United States,Female,"Facebook,Instagram,Snapchat",Less than once a week,Female,Tilted,Near,Direct,1,5,5,1,5
R_123YVnrORavW4At,176,39,United States,Female,"Facebook,Instagram,Snapchat",Less than once a week,Female,Tilted,Near,Side,1,5,5,1,5
R_123YVnrORavW4At,176,39,United States,Female,"Facebook,Instagram,Snapchat",Less than once a week,Female,Level,Near,Side,1,1,3,4,1
R_123YVnrORavW4At,176,39,United States,Female,"Facebook,Instagram,Snapchat",Less than once a week,Female,Level,Near,Direct,1,1,3,5,1
R_123YVnrORavW4At,176,39,United States,Female,"Facebook,Instagram,Snapchat",Less than once a week,Female,Tilted,Far,Direct,1,5,5,1,5
R_123YVnrORavW4At,176,39,United States,Female,"Facebook,Instagram,Snapchat",Less than once a week,Female,Tilted,Far,Side,1,5,5,1,5
R_123YVnrORavW4At,176,39,United States,Female,"Facebook,Instagram,Snapchat",Less than once a week,Female,Level,Far,Direct,1,1,1,4,1
R_123YVnrORavW4At,176,39,United States,Female,"Facebook,Instagram,Snapchat",Less than once a week,Female,Level,Far,Side,1,1,3,5,1
R_123YVnrORavW4At,176,39,United States,Female,"Facebook,Instagram,Snapchat",Less than once a week,Male,Tilted,Near,Direct,1,5,5,1,5
R_123YVnrORavW4At,176,39,United States,Female,"Facebook,Instagram,Snapchat",Less than once a week,Male,Tilted,Near,Side,1,5,5,1,5
R_123YVnrORavW4At,176,39,United States,Female,"Facebook,Instagram,Snapchat",Less than once a week,Male,Level,Near,Direct,1,4,4,1,4
R_123YVnrORavW4At,176,39,United States,Female,"Facebook,Instagram,Snapchat",Less than once a week,Male,Level,Far,Side,1,4,4,1,1
R_123YVnrORavW4At,176,39,United States,Female,"Facebook,Instagram,Snapchat",Less than once a week,Male,Level,Near,Side,1,5,5,1,5
R_123YVnrORavW4At,176,39,United States,Female,"Facebook,Instagram,Snapchat",Less than once a week,Male,Level,Far,Direct,1,1,1,4,1
R_123YVnrORavW4At,176,39,United States,Female,"Facebook,Instagram,Snapchat",Less than once a week,Male,Tilted,Far,Side,1,5,5,1,5
R_123YVnrORavW4At,176,39,United States,Female,"Facebook,Instagram,Snapchat",Less than once a week,Male,Tilted,Far,Direct,1,5,5,1,5
R_12M70a3TN80PMDU,1581,31,USA,Male,"Instagram,Whatsapp",Once a week,Female,Tilted,Near,Direct,3,5,3,2,5
R_12M70a3TN80PMDU,1581,31,USA,Male,"Instagram,Whatsapp",Once a week,Female,Tilted,Near,Side,3,4,2,2,5
R_12M70a3TN80PMDU,1581,31,USA,Male,"Instagram,Whatsapp",Once a week,Female,Level,Near,Direct,5,3,4,4,3
R_12M70a3TN80PMDU,1581,31,USA,Male,"Instagram,Whatsapp",Once a week,Female,Tilted,Far,Direct,5,3,2,4,3
R_12M70a3TN80PMDU,1581,31,USA,Male,"Instagram,Whatsapp",Once a week,Female,Tilted,Far,Side,3,4,5,3,2
R_12M70a3TN80PMDU,1581,31,USA,Male,"Instagram,Whatsapp",Once a week,Female,Level,Far,Direct,3,4,4,2,2
R_12M70a3TN80PMDU,1581,31,USA,Male,"Instagram,Whatsapp",Once a week,Female,Level,Far,Side,4,3,4,4,2
R_12M70a3TN80PMDU,1581,31,USA,Male,"Instagram,Whatsapp",Once a week,Male,Tilted,Near,Direct,2,5,3,1,4
R_12M70a3TN80PMDU,1581,31,USA,Male,"Instagram,Whatsapp",Once a week,Male,Tilted,Near,Side,2,5,1,1,4
R_12M70a3TN80PMDU,1581,31,USA,Male,"Instagram,Whatsapp",Once a week,Male,Level,Near,Direct,4,4,3,3,3
R_12M70a3TN80PMDU,1581,31,USA,Male,"Instagram,Whatsapp",Once a week,Male,Level,Far,Side,2,4,4,4,2
R_12M70a3TN80PMDU,1581,31,USA,Male,"Instagram,Whatsapp",Once a week,Male,Level,Near,Side,5,4,4,3,3
R_12M70a3TN80PMDU,1581,31,USA,Male,"Instagram,Whatsapp",Once a week,Male,Level,Far,Direct,3,4,4,4,2
R_12M70a3TN80PMDU,1581,31,USA,Male,"Instagram,Whatsapp",Once a week,Male,Tilted,Far,Side,1,4,3,2,4
R_12M70a3TN80PMDU,1581,31,USA,Male,"Instagram,Whatsapp",Once a week,Male,Tilted,Far,Direct,3,5,3,2,4
R_1C3aEpbLrFrYrFm,351,34,USA,Female,"Facebook,Instagram",Less than once a week,Female,Tilted,Near,Direct,5,1,1,3,5
R_1C3aEpbLrFrYrFm,351,34,USA,Female,"Facebook,Instagram",Less than once a week,Female,Tilted,Near,Side,5,1,1,2,5
R_1C3aEpbLrFrYrFm,351,34,USA,Female,"Facebook,Instagram",Less than once a week,Female,Level,Near,Side,4,1,1,1,2
R_1C3aEpbLrFrYrFm,351,34,USA,Female,"Facebook,Instagram",Less than once a week,Female,Level,Near,Direct,5,1,1,3,2
R_1C3aEpbLrFrYrFm,351,34,USA,Female,"Facebook,Instagram",Less than once a week,Female,Tilted,Far,Direct,5,1,1,3,2
R_1C3aEpbLrFrYrFm,351,34,USA,Female,"Facebook,Instagram",Less than once a week,Female,Tilted,Far,Side,5,1,1,1,4
R_1C3aEpbLrFrYrFm,351,34,USA,Female,"Facebook,Instagram",Less than once a week,Female,Level,Far,Direct,4,1,1,3,1
R_1C3aEpbLrFrYrFm,351,34,USA,Female,"Facebook,Instagram",Less than once a week,Female,Level,Far,Side,5,1,1,2,2
R_1C3aEpbLrFrYrFm,351,34,USA,Female,"Facebook,Instagram",Less than once a week,Male,Tilted,Near,Direct,4,1,1,1,4
R_1C3aEpbLrFrYrFm,351,34,USA,Female,"Facebook,Instagram",Less than once a week,Male,Tilted,Near,Side,4,2,1,1,4
R_1C3aEpbLrFrYrFm,351,34,USA,Female,"Facebook,Instagram",Less than once a week,Male,Level,Near,Direct,3,1,1,1,1
R_1C3aEpbLrFrYrFm,351,34,USA,Female,"Facebook,Instagram",Less than once a week,Male,Level,Far,Side,NA,3,1,2,2
R_1C3aEpbLrFrYrFm,351,34,USA,Female,"Facebook,Instagram",Less than once a week,Male,Level,Near,Side,4,2,1,1,2
R_1C3aEpbLrFrYrFm,351,34,USA,Female,"Facebook,Instagram",Less than once a week,Male,Level,Far,Direct,4,1,1,1,1
R_1C3aEpbLrFrYrFm,351,34,USA,Female,"Facebook,Instagram",Less than once a week,Male,Tilted,Far,Side,5,2,1,1,4
R_1C3aEpbLrFrYrFm,351,34,USA,Female,"Facebook,Instagram",Less than once a week,Male,Tilted,Far,Direct,5,2,1,1,5
R_1CguUOhL7Dy9bYp,417,18,England,Female,"Facebook,Instagram,Snapchat,Whatsapp",Once a week,Female,Tilted,Near,Direct,2,4,2,2,4
R_1CguUOhL7Dy9bYp,417,18,England,Female,"Facebook,Instagram,Snapchat,Whatsapp",Once a week,Female,Tilted,Near,Side,2,4,2,2,4
R_1CguUOhL7Dy9bYp,417,18,England,Female,"Facebook,Instagram,Snapchat,Whatsapp",Once a week,Female,Level,Near,Side,2,2,2,2,2
R_1CguUOhL7Dy9bYp,417,18,England,Female,"Facebook,Instagram,Snapchat,Whatsapp",Once a week,Female,Level,Near,Direct,4,2,2,4,3
R_1CguUOhL7Dy9bYp,417,18,England,Female,"Facebook,Instagram,Snapchat,Whatsapp",Once a week,Female,Tilted,Far,Direct,3,3,3,3,3
R_1CguUOhL7Dy9bYp,417,18,England,Female,"Facebook,Instagram,Snapchat,Whatsapp",Once a week,Female,Tilted,Far,Side,2,2,4,4,2
R_1CguUOhL7Dy9bYp,417,18,England,Female,"Facebook,Instagram,Snapchat,Whatsapp",Once a week,Female,Level,Far,Direct,3,3,3,3,3
R_1CguUOhL7Dy9bYp,417,18,England,Female,"Facebook,Instagram,Snapchat,Whatsapp",Once a week,Female,Level,Far,Side,4,2,2,4,2
R_1CguUOhL7Dy9bYp,417,18,England,Female,"Facebook,Instagram,Snapchat,Whatsapp",Once a week,Male,Tilted,Near,Direct,2,4,2,2,4
R_1CguUOhL7Dy9bYp,417,18,England,Female,"Facebook,Instagram,Snapchat,Whatsapp",Once a week,Male,Tilted,Near,Side,2,4,2,2,4
R_1CguUOhL7Dy9bYp,417,18,England,Female,"Facebook,Instagram,Snapchat,Whatsapp",Once a week,Male,Level,Near,Direct,2,3,3,2,3
